SampleID,1,2,3,4,5,6,7,8,9,10,11,12
A,ACH2 200 copies/rxn,ACH2 4 copies/rxn,,,,,,,,,,
B,ACH2 200 copies/rxn,JLAT 5/12 1/10 A1,,,,,,,,,,
C,ACH2 20 copies/rxn,JLAT 9/22 mix 1/10 dilution of 9/15,,,,,,,,,,
D,ACH2 20 copies/rxn,JLAT 9/15 mix,,,,,,,,,,
E,ACH2 20 copies/rxn,ACH2C controls,,,,,,,,,,
F,ACH2 4 copies/rxn,H2O neg,,,,,,,,,,
G,ACH2 4 copies/rxn,triple positive control,,,,,,,,,,
H,ACH2 4 copies/rxn,plasmid mix,,,,,,,,,,
,,,,,,,,,,,,
Assay,1,2,3,4,5,6,7,8,9,10,11,12
A,RPP30,RPP30,,,,,,,,,,
B,RPP30,RPP30,,,,,,,,,,
C,RPP30,RPP30,,,,,,,,,,
D,RPP30,RPP30,,,,,,,,,,
E,RPP30,RPP30,,,,,,,,,,
F,RPP30,RPP30,,,,,,,,,,
G,RPP30,RPP30,,,,,,,,,,
H,RPP30,RPP30,,,,,,,,,,
,,,,,,,,,,,,
Dilution,1,2,3,4,5,6,7,8,9,10,11,12
A,20,20,,,,,,,,,,
B,20,20,,,,,,,,,,
C,20,20,,,,,,,,,,
D,20,20,,,,,,,,,,
E,20,20,,,,,,,,,,
F,20,20,,,,,,,,,,
G,20,20,,,,,,,,,,
H,20,20,,,,,,,,,,
,,,,,,,,,,,,
Run,1,2,3,4,5,6,7,8,9,10,11,12
A,13-Oct-21,13-Oct-21,,,,,,,,,,
B,13-Oct-21,13-Oct-21,,,,,,,,,,
C,13-Oct-21,13-Oct-21,,,,,,,,,,
D,13-Oct-21,13-Oct-21,,,,,,,,,,
E,13-Oct-21,13-Oct-21,,,,,,,,,,
F,13-Oct-21,13-Oct-21,,,,,,,,,,
G,13-Oct-21,13-Oct-21,,,,,,,,,,
H,13-Oct-21,13-Oct-21,,,,,,,,,,
