Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",573,ddPCR Supermix for Probes (no dUTP),11460,,,589,558,5416,8623,3521,1895,1825,6798,284,14039,,,,,,,,1.017,,,1.056,0.978,50.4,,,51.4,49.5,1,1,3251,13405,962.93,5762.9,"",,,,581,566,,,,,,,1.037,0.997,,,50.9,49.93,
"A02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",986,ddPCR Supermix for Probes (no dUTP),19720,,,1010,963,7412,5647,5623,1789,1944,3703,523,13059,,,,,,,,0.968,,,1,0.936,49.2,,,50,48.4,1,1,3548,13541,987.26,8112.6,"",,,,998,975,,,,,,,0.984,0.952,,,49.6,48.76,
"B01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",558,ddPCR Supermix for Probes (no dUTP),11160,,,575,542,4553,7500,2944,1609,1541,5959,277,12053,,,,,,,,1.019,,,1.062,0.977,50.5,,,51.5,49.4,1,1,2925,13473,967.53,5691.6,"",,,,567,550,,,,,,,1.041,0.998,,,51,49.9,
"B02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",901,ddPCR Supermix for Probes (no dUTP),18020,,,921,881,7938,6898,4911,3027,1477,5421,379,14836,,,,,,,,1.36,,,1.406,1.314,57.6,,,58.4,56.8,1,1,3574,13637,985.84,7754.9,"",,,,911,891,,,,,,,1.383,1.337,,,58.04,57.21,
"C01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",1080,ddPCR Supermix for Probes (no dUTP),21600,,,1107,1055,7149,4750,5628,1521,1726,3024,601,11899,,,,,,,,0.954,,,0.986,0.922,48.8,,,49.7,48,1,1,3321,13449,958.79,8462.9,"",,,,1094,1067,,,,,,,0.971,0.938,,,49.26,48.4,
"C02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",860,ddPCR Supermix for Probes (no dUTP),17200,,,881,839,6525,6058,5585,940,911,5147,663,12583,,,,,,,,1.007,,,1.042,0.971,50.2,,,51,49.3,1,1,3188,13487,995.37,7472.8,"",,,,871,849,,,,,,,1.025,0.989,,,50.61,49.72,
"D01",Absolute Quantification,"ABS","",Ch1Unknown,"","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,5637,3978,4267,1370,1366,2612,542,9615,,,,,,,,,,,,,,,,,,1,1,3645,13522,974.2,8330.7,"",,,,,,,,,,,,,,,,,,
"D02",Absolute Quantification,"ABS","",Ch1Unknown,"","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,9190,0,0,0,9190,0,9190,,,,,,,,,,,,,,,,,,1,1,0,0,13325,13325,"",,,,,,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",1080,ddPCR Supermix for Probes (no dUTP),21600,,,1107,1053,6589,4382,5046,1543,1489,2893,577,10971,,,,,,,,1.014,,,1.049,0.978,50.3,,,51.2,49.5,1,1,3181,13652,981.56,8591,"",,,,1094,1066,,,,,,,1.032,0.995,,,50.79,49.88,
"E02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",1403,ddPCR Supermix for Probes (no dUTP),28060,,,1436,1371,8227,3584,6461,1766,1795,1789,595,11811,,,,,,,,0.993,,,1.025,0.961,49.8,,,50.6,49,1,1,3588,13436,973.23,9654.3,"",,,,1420,1387,,,,,,,1.01,0.977,,,50.24,49.42,
