Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev
A01,0,0,0,15810,358.330344620089,26.4119753604933,1301.08048205342,142.106684446038,
A01,1,0,0,9,1675.67396375868,461.706627015662,1253.50881618924,161.428759122104,
A01,0,1,0,35,360.587602015904,28.8429159994741,3564.52892020089,269.413284091722,
A01,1,1,0,4,1782.59997558594,310.852923545768,3739.02093505859,192.575613665233,
A01,0,0,1,16,300.479461669922,19.2188738920029,6214.12478637695,514.845126223926,
A01,1,0,1,18,1746.04948594835,190.395927215765,6401.08203125,527.915305209425,
A01,0,1,1,1,370.846252441406,0,9133.4765625,0,
A01,1,1,1,69,1512.80550307122,220.399785340905,9043.09159873188,419.40316270758,
A02,0,0,0,9668,362.849644501149,28.1154662151341,1311.32378507716,165.811753913025,
A02,1,0,0,1,1015.67742919922,0,1576.56372070313,0,
A02,1,1,0,1,1225.25341796875,0,3191.4296875,0,
A02,1,1,1,1,1636.8828125,0,8361.4951171875,0,
B01,0,0,0,15036,357.603750517597,26.2284939356861,1289.94394407605,148.753788497126,
B01,1,0,0,8,1335.75107574463,318.308058975298,1275.03179931641,160.748948957577,
B01,0,1,0,32,354.037617683411,32.3381482049588,3566.63395690918,291.764880915216,
B01,1,1,0,4,1495.30700683594,78.3403058077985,3896.92022705078,327.026722226001,
B01,0,0,1,19,303.262464824476,30.9907761645172,6334.94680304276,309.91391807323,
B01,1,0,1,28,1774.42801339286,206.222172944248,6560.15162876674,298.575186549603,
B01,1,1,1,78,1525.39226981921,236.499218402912,9065.70546624599,470.955007591238,
B02,0,0,0,10155,363.703322758715,27.8484182446837,1302.49548699864,163.676558078353,
B02,0,1,0,3,369.720225016276,13.2459853178387,3623.28841145833,304.772925217373,
B02,1,1,0,1,1447.13659667969,0,3260.6357421875,0,
B02,1,0,1,1,1826.70373535156,0,6869.470703125,0,
B02,1,1,1,3,1311.65317789714,507.002989789889,8468.96630859375,537.511519766163,
C01,0,0,0,13989,356.46744271151,27.0828363558859,1274.92634322807,150.655909255857,
C01,1,0,0,9,1756.97277832031,247.823101626822,1133.9352484809,94.2863743349325,
C01,0,1,0,37,363.598963557063,21.8185803937625,3555.69699509079,243.112401597652,
C01,1,1,0,5,1697.57434082031,251.944060928522,3719.96313476563,308.985813514602,
C01,0,0,1,16,294.377349853516,33.6958236513245,6257.17935180664,415.102459213327,
C01,1,0,1,20,1726.53283691406,320.950921784169,6384.237109375,420.512830534669,
C01,1,1,1,86,1526.36760764898,240.724719449694,8961.64017646257,487.620143470825,
C02,0,0,0,11600,363.581551551819,29.4128231070648,1298.50576066116,174.709089894042,
C02,1,0,1,1,2017.2021484375,0,6384.63671875,0,
C02,1,1,1,3,1424.20515950521,289.455093505419,8926.63297526042,754.56100279735,
D01,0,0,0,14866,361.362664753249,27.1947123005315,1363.2839877548,158.335050833946,
D01,1,0,0,2,1518.93243408203,153.244247219475,1296.63397216797,180.146587367475,
D01,0,1,0,5,385.998376464844,23.0159068452852,3561.57451171875,288.80975017905,
D01,1,1,0,3,1718.10302734375,211.685661937069,3893.31713867188,203.917344629847,
D01,0,0,1,1,223.080917358398,0,6750.76708984375,0,
D01,1,0,1,3,1739.10485839844,146.081343765767,6441.92415364583,98.4827343400949,
D01,1,1,1,14,1597.87540544782,302.103836078557,9327.47485351563,652.629643787762,
D02,0,0,0,12090,366.597437231476,28.9841749197839,1323.10643255519,168.20668465801,
D02,1,0,0,1,1059.81823730469,0,1405.94396972656,0,
D02,0,1,0,1,360.4326171875,0,3926.80126953125,0,
E01,0,0,0,12820,361.504310681705,28.0207014937384,1347.17829775044,158.611145613569,
E01,1,0,0,3,1286.8047281901,854.541766077047,1475.75549316406,278.543193365508,
E01,0,1,0,5,338.919750976563,19.0246130370141,3648.41899414062,278.656898191711,
E01,0,0,1,2,297.795013427734,20.9731997240377,6239.08544921875,40.2898947803812,
E01,1,0,1,3,1559.62430826823,250.6642206054,6249.89567057292,264.3768210546,
E01,1,1,1,13,1787.31255634014,1110.63567241107,8905.7880859375,548.178202841249,
E02,0,0,0,12332,351.844969497963,27.3104789432312,1015.66094047158,94.6885734020222,
F01,0,0,0,13080,362.69833694948,28.1849847941597,1336.07562275458,159.173969067494,
F01,1,0,0,4,1347.54292297363,538.353200320973,1370.62231445313,186.165179454331,
F01,0,1,0,4,365.220726013184,12.2104621078542,3621.99841308594,179.349610635723,
F01,1,1,0,2,1974.02252197266,44.0057443681863,4177.84521484375,59.6593725267509,
F01,0,0,1,2,275.985305786133,7.81207549494546,6774.63012695313,85.770878650186,
F01,1,0,1,5,1830.51218261719,241.819238088775,6674.24091796875,374.874424627333,
F01,0,1,1,2,266.199897766113,43.7214062180915,8677.47534179688,1411.24046838247,
F01,1,1,1,10,1540.37327880859,120.270477384488,9106.35625,483.387701328149,
F02,0,0,0,12657,368.737287730075,28.7232084281741,1349.74883952672,168.55025278297,
G01,0,0,0,12631,355.037475432516,27.6947886541259,1303.76371365154,163.406994608298,
G01,1,0,0,1,933.060424804688,0,1382.89916992188,0,
G01,0,1,0,1,344.032806396484,0,3553.70532226563,0,
G01,1,1,0,1,1359.6171875,0,3479.65185546875,0,
G01,1,1,1,2,1689.63659667969,169.526261287102,9235.3232421875,757.627627207222,
