Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev
A01,0,0,0,6798,978.65284778834,51.7936385970108,865.862601387673,60.5313848022027,
A01,1,0,0,6,8195.35538736979,1453.31009763785,822.331532796224,73.9463325825342,
A01,0,1,0,1887,13407.6547331454,514.118371949776,790.27074236281,119.813723885359,
A01,0,0,1,1827,907.14878740817,102.451725595542,6552.94015534667,323.067300238299,
A01,1,0,1,17,8039.24896599265,1832.74383086493,6521.79928768382,409.323108478555,
A01,0,1,1,3503,13441.8008400723,501.976862474599,6810.89889650946,356.627820997113,
A01,1,1,1,1,21853.3671875,0,7152.671875,0,
A02,0,0,0,3705,1011.99489010542,87.628549185941,891.756541494351,71.8580827328102,
A02,1,0,0,7,7717.76611328125,1749.24082226783,635.295593261719,237.69140284701,
A02,0,1,0,1780,13515.4844913097,578.87560016613,828.71194007102,138.620550368709,
A02,0,0,1,1944,942.785581580896,83.0474274871163,6614.42564787688,388.270093085982,
A02,1,0,1,16,8375.01321411133,2023.25736019891,6726.16809082031,293.815997558687,
A02,0,1,1,5607,13574.8469897944,554.017348391826,6907.67165798611,380.255192004817,
B01,0,0,0,5959,982.064579066984,47.086834927616,869.661030643397,61.3210721874248,
B01,1,0,0,6,7976.26025390625,2031.57615797694,795.211659749349,95.1089627298546,
B01,0,1,0,1602,13463.1349978786,594.262080368287,820.86006090257,142.4139362304,
B01,0,0,1,1541,911.339425455201,85.6317272734083,6578.15582683348,378.493585037824,
B01,1,0,1,9,8131.42578125,2207.7162220955,6715.14138454861,488.174189506257,
B01,0,1,1,2936,13506.5581334085,527.247836455218,6892.80277420584,372.066838638146,
B02,0,0,0,5419,1000.21882089044,48.1013528215144,882.296637780597,59.8066543739135,
B02,1,0,0,1294,8818.76557934155,626.142326529507,794.090066830194,100.734724420259,
B02,0,1,0,1406,13452.6717471995,608.340773630451,836.307479359178,134.723816647536,
