Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,,DeltaD,2.01292514801025,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM Lo,40.2585029602051,,,2.93389558792114,1.30868065357208,14039,24,14015,,,,,,,,,,,,,,,,RPP30 late,0.00356789109146004,,,0.00501146261421591,0.00212431956870418,0.355520650185378,,,0.498853188089501,0.212188112281255,8653.86383056641,5757.91050432241,5762.86120450261,,,,,2.45178055763245,1.62995254993439,,,,,,,0.00429789609887602,0.00283788608404407,,,0.428003009906563,0.283038290464193
A01,,RPP30 early,570.013000488281,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM Hi,11400.259765625,,,585.479736328125,554.7470703125,14039,5391,8648,,,,,,,,,,,,,,,,RPP30 late,1.0103427385111,,,1.04893473791704,0.971750739105163,50.257238189115,,,51.2121363751215,49.3023400031086,13431.4090505298,982.433193640837,5762.86120450261,,,,,577.878784179688,562.199523925781,,,,,,,1.03003169619372,0.990653780828488,,,50.7444104078364,49.7700659703936
A01,,RPP30 late,564.177856445313,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX Lo,11283.556640625,,,579.5439453125,549.009887695313,14039,5348,8691,,,,,,,,,,,,,,,,,,,,,,,,,,,6721.91917689915,849.419956767783,3086.48284082382,,,,,571.992614746094,556.414672851563,,,,,,,,,,,,
A02,,DeltaD,2.07387089729309,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM Lo,41.4774169921875,,,3.04597043991089,1.33488309383392,13059,23,13036,,,,,,,,,,,,,,,,RPP30 late,0.00203511965528272,,,0.00287600892148161,0.00119423038908384,0.203098635503199,,,0.286846342056821,0.119350928949577,8174.98148777174,8112.45364411955,8112.56377050012,,,,,2.5364818572998,1.67134428024292,,,,,,,0.00246029122312807,0.00160994808743737,,,0.245443264136422,0.160754006869975
A02,,RPP30 early,981.100891113281,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM Hi,19622.017578125,,,1004.35681152344,958.295776367188,13059,7387,5672,,,,,,,,,,,,,,,,RPP30 late,0.962768564777181,,,0.994575018033199,0.930962111521163,49.0515581946095,,,49.8771722083198,48.2259441808992,13560.5427732921,1017.3203125269,8112.56377050012,,,,,992.90869140625,969.410400390625,,,,,,,0.978994731995647,0.946542397558715,,,49.4727479115685,48.6303684776505
A02,,RPP30 late,1019.04125976563,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX Lo,20380.82421875,,,1042.96826171875,995.591247558594,13059,7567,5492,,,,,,,,,,,,,,,,,,,,,,,,,,,6831.9515178081,870.996414551315,4325.05470893404,,,,,1031.18798828125,1007.0185546875,,,,,,,,,,,,
B01,,DeltaD,1.46503353118896,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM Lo,29.3006706237793,,,2.34297394752502,0.840022444725037,12053,15,12038,,,,,,,,,,,,,,,,RPP30 late,0.00267504471761038,,,0.00404945682077237,0.00130063261444839,0.266790794455622,,,0.403499622047808,0.130081966863436,8069.3595703125,5688.62716627145,5691.58999594546,,,,,1.87693870067596,1.11843717098236,,,,,,,0.00336870079420295,0.00198138864101781,,,0.335786773729234,0.197794815182011
B01,,RPP30 early,555.779479980469,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM Hi,11115.58984375,,,572.215148925781,539.570251464844,12053,4538,7515,,,,,,,,,,,,,,,,RPP30 late,1.01481292436455,,,1.05707782844381,0.97254802028529,50.3676004899865,,,51.4087436051349,49.326457374838,13491.2289436512,981.708220205098,5691.58999594546,,,,,564.136352539063,547.481567382813,,,,,,,1.03637560472241,0.993250244006691,,,50.8987701847439,49.8364307952291
B01,,RPP30 late,547.666931152344,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX Lo,10953.3388671875,,,563.950866699219,531.605285644531,12053,4486,7567,,,,,,,,,,,,,,,,,,,,,,,,,,,6784.36097785994,859.270406915345,3064.52688258592,,,,,555.946899414063,539.444885253906,,,,,,,,,,,,
B02,,DeltaD,247.335494995117,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM Lo,4946.7099609375,,,256.528411865234,238.2138671875,14836,2813,12023,,,,,,,,,,,,,,,,RPP30 late,0.373256851356289,,,0.389900015345218,0.35661368736736,27.1804106411444,,,28.0629464654579,26.2978748168309,13956.9350205797,6303.85288384032,7754.92595277046,,,,,252.016784667969,242.672775268555,,,,,,,0.381748050405127,0.364765652307451,,,27.6306728242822,26.7301484580065
